TIC ID,TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,# PCs,Source,RA (degrees),Dec (degrees),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Epoch (BJD),Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Sectors,Comments,Date Created,Date Modified
48476907,658.01,3,4,3,3,4,4,4,PC,,9.3970003,0.017,1,spoc,150.152663,-34.681867,-50.64,2,24.25,2,2458543.701,0.00333,4.719906,0.001021,1.825078,0.197044,2.108996,0.201288,1940.571553,185.37564,10.600509,19.938599,971.774106,1424.003577,12.043224,,,6521,199,4.2204099,2.0108399,1.48858,1.48858,9,two stars of similar brightness in the same pixel - 48476908 (T mag= 9.486),5/6/2019,5/7/2019
48476908,659.01,3,4,3,3,4,4,4,PC,,9.4860001,0.018,1,spoc,150.152663,-34.681867,-50.64,6.221,24.252,1.361,2458543.699,0.002952,4.720083,0.000897,1.694515,0.174566,2.406263,0.234873,2213.796074,216.30275,12.777913,17.91806,1052.949269,1452.852789,12.275165,201.68265,,5990,192,4.0096598,0.74852699,1.72045,0.63534403,9,two stars of similar brightness in the same pixel; we released 48476907.,5/6/2019,5/7/2019
53189332,660.01,5,5,5,5,5,5,5,PC,CP,10.955,0.018,1,spoc,166.429631,-5.079484,-23.697,3.16,-14.32,1.199,2458544.65,0.001182,9.290298,0.000911,5.345087,0.109718,6.757246,0.140765,6204.326608,129.64064,11.115877,0.287572,276.548736,1040.070237,32.97406,307.64401,,6461,198,4.2287898,2.0099499,1.45865,1.45865,9,WASP-106 b,5/6/2019,5/7/2019
53735810,661.01,5,5,5,5,5,5,5,PC,CP,11.194,0.018,1,spoc,158.225028,-34.989906,11.574,0.944,-13.891,0.501,2458544.169,0.001299,4.08653,0.000383,4.448192,0.086974,8.041696,0.150781,7379.314262,138.86444,15.378719,0.319277,1722.797602,1643.154173,39.438835,414.95401,81.343903,7051,79,5,0.079999998,1.50081,0.53335297,9,WASP-66b,5/6/2019,5/7/2019
54085154,662.01,5,5,5,5,5,5,5,PC,FP,8.1940002,0.017,1,spoc,160.180141,-31.927231,-1.865,0.472,-14.934,0.351,2458543.3,0.001614,1.001166,0.000112,1.793411,0.193173,0.30201,0.016952,278.122604,15.613315,2.394312,0.530521,4637.090965,2104.656153,13.519842,86.637093,3.15639,6380,80,,,1.3136801,0.127184,9,,5/6/2019,5/26/2019
54962195,663.01,1,4,1,4,4,3,4,PC,,11.672,0.04,2,spoc,160.065871,-8.511071,-145.21,2,-80.2,2,2458544.391,0.002789,2.598654,0.0005,1.618382,0.5309,2.077013,0.219951,1911.17085,202.56204,2.224192,1.594181,47.520469,669.63775,9.389264,92.688316,,3719,64,4.7694101,0.347691,0.50199997,0.075000003,9,,5/6/2019,5/23/2019
54962195,663.02,1,4,1,4,4,3,4,PC,,11.672,0.04,2,spoc,160.065871,-8.511071,-145.21,2,-80.2,2,2458543.394,0.004137,4.698465,0.001207,1.836605,0.647492,2.283316,0.288664,2100.802126,265.83398,2.328341,1.721462,21.574328,549.672574,7.826296,92.688316,,3719,64,4.7694101,0.347691,0.50199997,0.075000003,9,"not a 2x period, so it could be a second planet; low SNR",5/6/2019,5/23/2019
55092869,664.01,5,5,5,5,5,5,5,PC,CP,7.309,0.033,1,spoc,161.707282,-9.398984,-78,8,-78,8,2458544.341,0.000741,4.736094,0.000234,7.108413,0.045973,2.647894,0.030689,2435.829206,28.264969,13.692776,0.177403,1416.644361,1564.713966,74.66564,112.73957,15.3794,5326,25,3.74,0.028000001,3.0667901,0.54184401,9,KELT 11b,5/6/2019,5/7/2019
73723286,665.01,5,5,5,5,5,5,5,PC,FP,9.0880003,0.018,1,spoc,155.637117,-40.516341,40,0.959,-42.335,0.71,2458547.303,0.000369,14.065993,0.000506,3.442418,0.023263,18.340078,0.188188,16749.96849,173.31256,20.710905,2.806728,178.711828,932.519826,109.28948,124.8091,7.63691,6157,194,4.2040701,0.30857301,1.41729,0.191856,9,period in qlp = 14.05864 was slightly off,5/6/2019,5/9/2019
82128636,666.01,3,4,3,3,4,4,4,PC,,8.79,0.018,1,spoc,124.110355,-46.429821,-12.738,0.791,16.035,0.743,2458543.937,0.002842,7.47428,0.001339,1.549211,0.107297,1.732702,0.257523,1594.604377,237.15956,7.637788,7.310065,617.763815,1271.526355,12.282331,149.929,,6680,201,4.2003598,1.9134099,1.56353,1.48535,9,,5/6/2019,5/7/2019
101955023,667.01,5,5,5,5,5,5,5,PC,CP,10.938,0.059,1,spoc,153.716027,-47.156796,-1053.5,2,414.46,2,2458544.716,0.000827,1.628694,0.000101,0.799026,0.24285,3.098811,0.182607,2850.041412,168.17319,1.402261,0.767937,27.166032,582.272532,16.902313,29.119429,,3216,100,5.0255799,0.078684501,0.21699999,0.008,9,GJ 1132b,5/6/2019,5/7/2019
102195674,668.01,5,5,5,5,5,5,5,PC,FP,11.303,0.018,3,spoc,154.191745,-42.559071,-20.336,1.12,-4.701,0.39,2458547.461,0.000619,4.378773,0.00024,3.818396,0.041287,33.54721,0.492825,30425.65366,453.80573,20.62459,3.883677,569.824771,1246.106268,68.38349,314.24146,40.497501,6159,194,4.3769102,0.40305701,1.16198,0.218512,9,,5/6/2019,5/9/2019
