tid,harmonic,sector,period,zeta,deltchi2,kurtosis,duration,tau0,depth
453784977,7.0,11,2.86778,6037.64,893117.0,5.15848,0.03441335999999998,1600.9759657909913,0.014701188
453828066,1.0,4,9.13585,2674.86,458.662,40.467,0.0730868,1413.701598023874,0.001229167
453835690,2.0,5,3.56277,4286.69,92493.4,4.48065,0.04631601,1440.7648964136297,0.0050393045
454190342,16.0,5,5.32212,10547.2,18747.0,7.5612,0.03525904499999995,1442.5459479996505,0.28156045
454222105,3.0,5,1.89845,17239.5,72289.5,10.6752,0.037968999999999996,1438.597041224732,0.02330187
454834333,11.0,12,1.93648,3573.51,370649.0,3.92979,0.03556081454545452,1625.8189556357481,0.007377386
455064763,14.0,5,4.14004,2627.75,1.28e7,3.58693,0.03371175428571433,1439.2751224513634,0.11784589
455153566,4.0,7,2.39897,21836.3,468524.0,15.2475,0.03358558,1493.9199915621564,0.06578803
455206965,8.0,7,0.769926,10982.0,14076.7,8.42744,0.013088741999999985,1491.6988676767935,0.20126575
455463415,2.0,12,11.7033,5966.18,2982.68,13.5657,0.0819231,1635.1667812442872,0.00048080087
455509774,4.0,12,7.80844,20492.1,31508.2,21.3013,0.01561688,1630.5543776093348,0.00046777725
456609929,1.0,13,4.56783,6234.11,11548.2,15.9384,0.06394962000000001,1657.9645668825528,0.0036652684
457172621,14.0,5,3.16306,7902.16,81349.5,5.42179,0.03931231714285715,1441.1469772483424,0.024958968
457173024,7.0,5,2.79604,24647.4,2.58e7,15.0289,0.03594908571428574,1439.0426951973154,0.026517868
458404466,4.0,10,2.59228,6956.26,6447.52,11.9811,0.04666104000000002,1570.262333240177,0.0012732148
460820330,1.0,11,5.07439,7656.4,449.992,55.1674,0.050743899999999995,1605.081650324143,0.06638989
464422047,2.0,13,5.49702,23721.1,7898.95,53.2496,0.038479139999999995,1657.509962289602,0.0017406344
464838153,2.0,6,3.87304,48403.5,3994.3,68.4078,0.038730400000000005,1469.7981118960151,0.008944809
465145959,22.0,11,4.37631,5393.77,51860.1,5.60066,0.021881550000000024,1600.7777148010364,0.001489222
467050003,9.0,10,3.4345,3699.59,695206.0,3.99832,0.0015264444444444444,1570.4541600399705,0.0076705813
467238286,2.0,10,3.41453,46716.2,17124.1,55.402,0.06487607,1571.3082693075476,0.0031755567
468887783,1.0,5,4.52917,116034.0,8200.27,119.617,0.09964173999999999,1439.945793685336,0.0059555173
468958374,1.0,7,0.767492,20648.9,921526.0,31.8348,0.03837460000000001,1491.8164266006845,0.060423017
468958384,8.0,7,6.14029,20798.1,4070.31,21.6387,0.046052175,1497.1886273409034,0.046948284
469221047,11.0,10,2.48525,3187.02,29280.8,5.1829,0.03660095454545454,1570.389532775695,0.0026640892
469441650,5.0,13,8.4166,26620.0,325729.0,40.7091,0.04713295999999999,1665.373351143456,0.038644373
469970988,5.0,1,3.38055,27109.7,18354.5,16.4025,0.03515772000000001,1325.9365890586555,0.0017089248
