TID,Peak_Zeta,Guessed_Period
234988320,3.17E-13,0.334273994
419669536,2.70E-09,4.779675007
55451920,3.31E-06,0.338422209
55499868,1.26E-11,2.104418278
30466384,1.74E-14,9.605852127
314864512,3.46E-13,7.96618557
259902624,3.60E-13,1.588630676
259902432,6.87E-09,0.376390666
214515872,4.32E-10,0.339325875
33880416,2.62E-09,1.929715276
33879968,2.22E-08,12.83324909
277748320,6.12E-08,0.363323748
348763552,3.96E-08,0.745678365
270672800,6.30E-12,5.505270481
270676928,7.81E-11,3.444823027
167168800,8.60E-13,0.608579576
167163904,7.80E-13,5.655937195
409857088,9.54E-11,0.794432223
206407888,5.49E-09,0.658058822
126661792,1.26E-08,2.378268003
350561824,7.82E-14,0.708484113
350584960,5.68E-11,0.331555188
350522048,1.03E-13,6.651700497
214873840,2.04E-12,0.437595189
339576480,1.86E-10,4.766945839
303981344,1.38E-15,4.955703735
30315586,5.72E-13,0.332440495
121424448,1.18E-09,3.754189968
197764480,6.58E-15,6.989244938
197712768,3.40E-12,9.492854118
197734528,1.03E-08,5.379197598
161403408,2.48E-09,6.901272774
267084320,8.10E-09,0.371777028
267090032,2.71E-08,0.316965908
267060352,7.46E-14,0.360368699
317152416,1.44E-09,0.468933493
317128448,1.09E-08,1.330257416
235012032,1.97E-11,13.82583904
235041552,5.04E-11,4.622208118
235013984,2.31E-08,0.637440562
278957024,1.82E-13,9.318849564
177079600,1.15E-09,13.8835659
370138784,7.85E-12,1.785513043
370139744,9.91E-13,0.32428655
278775328,2.65E-14,8.215637207
278772256,1.16E-10,0.363444865
278706080,7.33E-13,11.99959183
281781536,1.82E-09,0.372148991
273850400,1.14E-06,0.331334203
200644336,7.76E-10,0.346469343
200644944,3.15E-15,7.990120411
370008576,2.75E-09,2.283872604
370039648,1.51E-13,2.439287186
370009920,6.15E-12,0.339665383
181659776,2.77E-08,1.761864185
142143120,6.34E-14,11.82291222
214517168,9.46E-16,5.83693552
406341856,9.53E-10,2.180467129
277773216,1.33E-10,0.926389098
348772512,0.00025091,0.352116078
348763552,4.32E-11,4.303975582
141121232,4.60E-09,0.370169461
167163616,1.40E-08,0.89975965
167120384,5.81E-09,1.529650211
206480288,6.08E-12,9.31264019
206471472,5.13E-14,8.876191139
206438016,1.44E-13,5.847646713
206497136,8.69E-10,1.043109059
206470912,4.01E-09,1.072192669
281461088,8.81E-12,4.520876408
350580992,3.41E-12,8.652710915
350583904,6.18E-13,4.60759449
294398368,1.97E-08,0.341197312
382383648,5.65E-11,7.904028416
147419872,2.87E-11,0.667892754
161302864,1.08E-11,0.374513417
150391904,1.92E-14,11.48305702
150392384,2.46E-14,2.291116238
177236992,9.22E-12,0.307137102
177241120,2.46E-08,1.733320832
143982656,8.82E-09,3.711882591
55367248,1.18E-13,0.428572953
30941184,4.32E-09,0.749041438
306898176,3.21E-08,0.964517236
39071024,9.46E-15,11.7914257
39080548,1.49E-09,2.045629978
270501376,7.45E-09,4.922775745
179305184,1.67E-08,4.959008694
52154484,2.95E-10,0.407060146
52120816,3.08E-11,3.124806881
270394048,4.88E-07,0.339948535
270342048,7.10E-13,0.275143892
278827680,1.93E-10,3.915223598
278831200,1.53E-12,9.418782234
267211920,9.32E-09,0.364233196
425931712,3.40E-10,2.703027725
29924856,7.14E-14,3.667606354
388131936,1.06E-07,0.609696329
388179424,2.63E-15,6.015699387
177351472,1.43E-09,0.330561996
177389296,3.03E-12,4.69675827
142018704,5.17E-12,0.344224572
142051344,1.12E-13,4.038496494
270245792,6.25E-05,6.726394176
419588832,5.02E-13,0.683204591
269834944,2.65E-14,5.839854717
139092224,1.55E-11,3.290498972
33717548,3.33E-13,0.422826111
206407920,1.17E-08,1.97066772
206472480,7.53E-13,0.332606792
206473440,2.41E-09,6.268513203
197596352,3.84E-09,0.646104336
373846144,2.04E-07,0.313969016
415644448,3.94E-08,1.70979321
50379840,1.00E-08,0.359708607
161381872,1.12E-11,3.338002205
161378576,8.97E-06,0.365205765
147422352,3.78E-06,13.66319942
349966272,1.43E-09,0.364962369
141216816,2.10E-09,2.743421316
382579360,3.13E-06,0.353999078
179439248,3.61E-12,0.357735634
382315104,2.96E-10,4.38799572
237881360,0.000183627,7.658931255
150389136,2.42E-13,3.652356148
272429504,4.03E-09,3.957209826
299942688,5.56E-09,0.65904665
53940520,1.79E-10,9.650785446
115043104,4.36E-06,1.018372536
349480768,4.57E-09,1.129798293
349482080,2.15E-13,0.396150529
92352688,1.93E-08,6.589906693
201230464,1.17E-07,0.339099765
201294048,4.42E-09,0.509685695
141870592,4.44E-10,0.653141856
289938208,1.09E-07,1.026039004
289916352,2.97E-12,14.93995762
289952032,3.65E-09,8.920683861
141605984,1.11E-10,0.362658232
141625552,4.43E-08,1.720943093
149107360,3.38E-12,0.318183303
149176496,7.95E-14,0.537786126
129636544,6.38E-06,6.970632553
129652064,2.74E-12,0.354826033
369993184,3.98E-10,12.61272049
55524056,6.11E-10,10.59313202
55525520,7.83E-12,12.04969311
271807424,4.64E-13,14.96238232
299799648,3.03E-09,0.690185905
273369280,1.00E-10,8.339798927
273395808,9.12E-09,9.91160202
277892448,1.43E-09,0.990748823
140761760,3.04E-14,3.278455496
369248736,4.14E-10,0.336509913
144002624,1.88E-10,3.470756054
271554656,6.18E-15,8.842230797
271574624,1.92E-09,0.48402068
271503328,1.15E-10,0.254074514
290045472,2.15E-14,5.098973274
306737440,2.73E-08,5.787531376
306735584,6.94E-14,0.318236321
38964184,2.22E-12,6.472349167
30317300,8.94E-10,4.207516193
121487472,9.07E-14,0.377332807
121488416,1.58E-12,0.366425157
121473568,6.40E-10,0.336958885
197741712,2.88E-06,0.338422209
161458992,4.02E-11,10.15574074
278663616,1.99E-14,7.698605537
278660128,4.88E-11,12.04166317
278635808,1.20E-14,5.728034973
278660480,5.63E-10,3.520862103
267039168,5.56E-11,1.064358711
267094768,3.37E-10,9.088768005
61708168,6.62E-14,3.13837719
260504544,9.14E-09,0.430936605
260503392,1.99E-10,0.650317669
278536832,1.09E-08,0.324556947
92141440,1.24E-07,0.663344383
410214976,1.25E-06,1.018372536
410253728,4.03E-09,1.724963307
231269248,1.83E-08,1.811591625
231240672,1.09E-08,2.664116383
231907248,6.81E-09,0.755183697
143925456,2.07E-14,0.342736155
30939038,1.38E-08,1.367119193
403121280,1.34E-05,7.719162941
382517760,2.17E-06,11.00892067
382572064,1.22E-09,1.013124466
382517216,7.17E-15,0.923768044
349309632,6.21E-09,0.343536794
349306400,1.22E-12,1.322740555
167895984,1.36E-10,0.250918329
237866000,5.67E-13,1.075055599
60369880,1.77E-11,0.342108399
327712064,1.48E-08,1.817337394
260003872,7.85E-14,7.18052578
260045376,7.48E-14,0.477530301
212254848,2.70E-09,1.105029941
92349920,1.13E-12,0.968060255
